id,Regdex,Natdex,Pokemon,Type,Type2,NatdexSimp,PokemonImgLink,PokedexEntry
1,#001,#001,Bulbasaur,Grass,Poison,1,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/1.png?raw=true,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.
2,#002,#002,Ivysaur,Grass,Poison,2,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/2.png?raw=true,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
3,#003,#003,Venusaur,Grass,Poison,3,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/3.png?raw=true,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."
4,#004,#004,Charmander,Fire,Fire,4,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/4.png?raw=true,"Obviously prefers hot places. When it rains, steamis said to spout from the tip of its tail."
5,#005,#005,Charmeleon,Fire,Fire,5,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/5.png?raw=true,"When it swings its burning tail, it elevates the air temperature to unbearably high levels."
6,#006,#006,Charizard,Fire,Flying,6,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/6.png?raw=true,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.
7,#007,#007,Squirtle,Water,Water,7,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/7.png?raw=true,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds."
8,#008,#008,Wartortle,Water,Water,8,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/8.png?raw=true,"When tapped on its head, this Pokémon will pull it in, but its tail will still stick out a little bit."
9,#009,#009,Blastoise,Water,Water,9,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/9.png?raw=true,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.
10,#010,#010,Caterpie,Bug,Bug,10,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/10.png?raw=true,"It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon."
